n,instance,origin,destruction,fragments,method,baseline_cost,cost,improvement_pct
50,0,two_opt,longest,8,greedy_pair,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,longest,8,random_mean,5.741904258728027,8.860048830509186,-54.30506032979212
50,0,two_opt,longest,8,random_best,5.741904258728027,7.776292951777577,-35.430557553396355
50,0,two_opt,longest,8,model_route,5.741904258728027,7.1219769436866045,-24.03510443178823
50,0,two_opt,longest,8,model_learned,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,longest,12,original_order,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,longest,12,exact_fixed_orientation,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,longest,12,exact_reversible,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,longest,12,greedy_pair,5.741904258728027,7.079928332939744,-23.302793183600066
50,0,two_opt,longest,12,random_mean,5.741904258728027,9.91559663694352,-72.688296254178
50,0,two_opt,longest,12,random_best,5.741904258728027,8.871359007433057,-54.50203639233582
50,0,two_opt,longest,12,model_route,5.741904258728027,6.1538023967295885,-7.1735459081445345
50,0,two_opt,longest,12,model_learned,5.741904258728027,6.6499946136027575,-15.815142746317655
50,1,raw,longest,4,original_order,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,longest,4,exact_fixed_orientation,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,longest,4,exact_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,longest,4,greedy_pair,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,longest,4,random_mean,5.46506929397583,6.757094934117049,-23.641523476480426
50,1,raw,longest,4,random_best,5.46506929397583,5.993264667224139,-9.66493460257752
50,1,raw,longest,4,model_route,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,longest,4,model_learned,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,longest,8,original_order,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,longest,8,exact_fixed_orientation,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,longest,8,exact_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
