n,instance,origin,fragments,cut_samples,method,baseline_cost,cost,improvement_pct
50,3,two_opt,4,64,single_random_fixed_mean,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,4,64,best_random_fixed,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,4,64,best_random_reversible,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,4,64,longest_fixed,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,4,64,longest_reversible,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,4,64,best_combined_reversible,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,8,64,single_random_fixed_mean,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,8,64,best_random_fixed,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,8,64,best_random_reversible,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,8,64,longest_fixed,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,8,64,longest_reversible,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,8,64,best_combined_reversible,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,4,raw,4,64,single_random_fixed_mean,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,4,64,best_random_fixed,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,4,64,best_random_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,4,64,longest_fixed,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,4,64,longest_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,4,64,best_combined_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,8,64,single_random_fixed_mean,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,8,64,best_random_fixed,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,8,64,best_random_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,8,64,longest_fixed,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,8,64,longest_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,8,64,best_combined_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,4,64,single_random_fixed_mean,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,4,64,best_random_fixed,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,4,64,best_random_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,4,64,longest_fixed,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,4,64,longest_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,4,64,best_combined_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,8,64,single_random_fixed_mean,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,8,64,best_random_fixed,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,8,64,best_random_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,8,64,longest_fixed,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,8,64,longest_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,8,64,best_combined_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,5,raw,4,64,single_random_fixed_mean,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,4,64,best_random_fixed,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,4,64,best_random_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,4,64,longest_fixed,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,4,64,longest_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,4,64,best_combined_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,8,64,single_random_fixed_mean,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,8,64,best_random_fixed,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,8,64,best_random_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,8,64,longest_fixed,5.503448963165283,5.503449220210314,-4.670617140529161e-06
