objective,n,instance,origin,remaining,oracle_completion,source_spread_pct,source_count,policy,regret,regret_pct,oracle_hit
reinforce,20,0,route,10,2.3999610543251038,8.39158167589374,10,fixed,0.0,0.0,1
reinforce,20,0,route,10,2.3999610543251038,8.39158167589374,10,shortest_component,0.0,0.0,1
reinforce,20,0,route,10,2.3999610543251038,8.39158167589374,10,min_entropy,0.0,0.0,1
reinforce,20,0,route,10,2.3999610543251038,8.39158167589374,10,max_margin,0.0,0.0,1
reinforce,20,0,route,10,2.3999610543251038,8.39158167589374,10,shortest_edge,0.0,0.0,1
reinforce,20,0,route,10,2.3999610543251038,8.39158167589374,10,random_expected,0.02013946920633325,0.8391581675893777,0.9
reinforce,20,1,learned,4,0.7159890308976173,97.85280759191663,4,learned,0.700615368783474,97.85280759191663,0
reinforce,20,1,learned,4,0.7159890308976173,97.85280759191663,4,route,0.0,0.0,1
reinforce,20,1,learned,4,0.7159890308976173,97.85280759191663,4,fixed,0.634456567466259,88.61260998242625,0
reinforce,20,1,learned,4,0.7159890308976173,97.85280759191663,4,shortest_component,0.634456567466259,88.61260998242625,0
reinforce,20,1,learned,4,0.7159890308976173,97.85280759191663,4,min_entropy,0.700615368783474,97.85280759191663,0
reinforce,20,1,learned,4,0.7159890308976173,97.85280759191663,4,max_margin,0.700615368783474,97.85280759191663,0
reinforce,20,1,learned,4,0.7159890308976173,97.85280759191663,4,shortest_edge,0.0,0.0,1
reinforce,20,1,learned,4,0.7159890308976173,97.85280759191663,4,random_expected,0.38278400897979736,53.462272808832104,0.25
reinforce,20,1,learned,6,1.4157467260956764,11.545737416282343,6,learned,0.0,0.0,1
reinforce,20,1,learned,6,1.4157467260956764,11.545737416282343,6,route,0.16345839947462082,11.545737416282343,0
reinforce,20,1,learned,6,1.4157467260956764,11.545737416282343,6,fixed,0.0,0.0,1
reinforce,20,1,learned,6,1.4157467260956764,11.545737416282343,6,shortest_component,0.13736844807863235,9.702897103457541,0
reinforce,20,1,learned,6,1.4157467260956764,11.545737416282343,6,min_entropy,0.06297114491462708,4.447910332682731,0
reinforce,20,1,learned,6,1.4157467260956764,11.545737416282343,6,max_margin,0.06297114491462708,4.447910332682731,0
reinforce,20,1,learned,6,1.4157467260956764,11.545737416282343,6,shortest_edge,0.13736844807863235,9.702897103457541,0
reinforce,20,1,learned,6,1.4157467260956764,11.545737416282343,6,random_expected,0.07039196168382955,4.972073068320304,0.3333333333333333
