host,dataset,arm,seed,selected_step,mean,nll,accuracy,decoder_seconds,training_seconds,parameters
results,uniform100,random-aware,12031,11000,9.176372103393078,2.6539999802051777,0.8736979365348816,2.3594070747494698,117.28975935839117,58306
results,cluster100,random-aware,12031,11000,5.459470534697175,4.997276331946991,0.5520833134651184,1.0944574689492583,117.28975935839117,58306
results,uniform200,random-aware,12031,11000,13.435060545802116,2.967651998751824,0.8072916865348816,2.1456334749236703,117.28975935839117,58306
results,cluster200,random-aware,12031,11000,8.110652707517147,3.810446138864848,0.5703125,2.11823261808604,117.28975935839117,58306
results,uniform100,random-aware,12037,6000,9.043685557320714,2.724997378386067,0.8697916865348816,2.9185140412300825,104.81431785551831,58306
results,cluster100,random-aware,12037,6000,5.638645641505718,5.246073753343596,0.5520833134651184,1.34208496613428,104.81431785551831,58306
results,uniform200,random-aware,12037,6000,13.012778326869011,3.064934596504188,0.8020833134651184,2.1837213621474802,104.81431785551831,58306
results,cluster200,random-aware,12037,6000,8.515563454478979,3.9843863642145405,0.5338541865348816,2.430514446925372,104.81431785551831,58306
results,uniform100,random-aware,12041,7000,9.066242262721062,2.771171335813159,0.8697916865348816,2.11690506990999,91.79367881640792,58306
results,cluster100,random-aware,12041,7000,5.5104699321091175,5.012017449894807,0.5520833134651184,1.0449233260005713,91.79367881640792,58306
results,uniform200,random-aware,12041,7000,13.179564088582993,3.008526189370604,0.8046875,2.062180603854358,91.79367881640792,58306
results,cluster200,random-aware,12041,7000,8.189543705433607,3.9800874957537693,0.5338541865348816,2.135614715050906,91.79367881640792,58306
results,uniform100,random-blind,12031,11000,9.328633399680257,2.8621230509645947,0.8776041865348816,2.247895752079785,102.8484116285108,58306
results,cluster100,random-blind,12031,11000,5.587284777313471,5.061059085615422,0.5651041865348816,1.114187987986952,102.8484116285108,58306
results,uniform200,random-blind,12031,11000,13.46445868164301,2.9718348804062114,0.8151041865348816,3.4298707293346524,102.8484116285108,58306
results,cluster200,random-blind,12031,11000,8.255151715129614,3.857293188111574,0.5729166865348816,2.1262595243752003,102.8484116285108,58306
results,uniform100,random-blind,12037,8000,9.235823653638363,2.83699525060587,0.8723958134651184,2.155173652805388,100.39415930118412,58306
results,cluster100,random-blind,12037,8000,5.54991340264678,5.207797126023199,0.5598958134651184,1.0403394629247487,100.39415930118412,58306
results,uniform200,random-blind,12037,8000,13.382505238056183,3.021818536261458,0.8098958134651184,2.0605400940403342,100.39415930118412,58306
results,cluster200,random-blind,12037,8000,8.101746402680874,4.068303382375732,0.5572916865348816,2.1328069153241813,100.39415930118412,58306
results,uniform100,random-blind,12041,4000,9.306235963478684,2.9937272684827847,0.8658854365348816,2.1336091849952936,87.14091458311304,58306
results,cluster100,random-blind,12041,4000,5.600271448493004,5.528284888123044,0.5390625,1.1257322179153562,87.14091458311304,58306
results,uniform200,random-blind,12041,4000,13.34311230480671,3.145833377099383,0.8072916865348816,3.225096938200295,87.14091458311304,58306
results,cluster200,random-blind,12041,4000,8.169040381908417,4.180517271668077,0.5520833134651184,2.132768906187266,87.14091458311304,58306
results,uniform100,route-aware,12031,12000,7.846011538058519,0.5372346618601551,0.9466145634651184,2.0476329787634313,120.77744555892423,58306
results,cluster100,route-aware,12031,12000,3.9033416975289583,2.1786874946536083,0.7473958134651184,0.9788639610633254,120.77744555892423,58306
results,uniform200,route-aware,12031,12000,10.85568018257618,0.35889670729036194,0.9635416865348816,1.9758949372917414,120.77744555892423,58306
results,cluster200,route-aware,12031,12000,5.145859755575657,1.5560674354695445,0.7317708134651184,2.2950880168937147,120.77744555892423,58306
results,uniform100,route-aware,12037,12000,7.853821778669953,0.6002646610387683,0.9466145634651184,1.9935059770941734,110.51630482729524,58306
results,cluster100,route-aware,12037,12000,3.922173000872135,2.0521821502024498,0.734375,1.0068485108204186,110.51630482729524,58306
results,uniform200,route-aware,12037,12000,10.860131300985813,0.39644707468275947,0.9583333134651184,1.9806534429080784,110.51630482729524,58306
results,cluster200,route-aware,12037,12000,5.133369855582714,1.6349997427471983,0.71875,3.2477935370989144,110.51630482729524,58306
results,uniform100,route-aware,12041,10000,7.853882845491171,0.5634390770029907,0.9440104365348816,2.0631277691572905,100.28559285961092,58306
