instance,stage,method,cost
3,15,source_once,6.036953939124942
3,15,endpoint_once,6.036953939124942
3,20,route,6.036953939124942
3,20,source_once,6.001169553026557
3,20,endpoint_once,6.036953939124942
3,30,route,6.036953939124942
3,30,source_once,6.001169553026557
3,30,endpoint_once,6.036953939124942
4,4,route,5.863105313852429
4,4,source_once,5.863105313852429
4,4,endpoint_once,5.863105313852429
4,6,route,5.863105313852429
4,6,source_once,5.863105313852429
4,6,endpoint_once,5.863105313852429
4,8,route,5.863105313852429
4,8,source_once,5.863105313852429
4,8,endpoint_once,5.863105313852429
4,10,route,5.863105313852429
4,10,source_once,5.863105313852429
4,10,endpoint_once,5.863105313852429
4,15,route,5.863105313852429
4,15,source_once,5.863105313852429
4,15,endpoint_once,5.863105313852429
4,20,route,5.863105313852429
4,20,source_once,5.863105313852429
4,20,endpoint_once,5.863105313852429
4,30,route,5.863105313852429
4,30,source_once,5.831987189128995
4,30,endpoint_once,5.863105313852429
5,4,route,5.75677365064621
5,4,source_once,5.75677365064621
5,4,endpoint_once,5.75677365064621
5,6,route,5.75677365064621
5,6,source_once,5.75677365064621
5,6,endpoint_once,5.75677365064621
5,8,route,5.75677365064621
5,8,source_once,5.75677365064621
5,8,endpoint_once,5.75677365064621
5,10,route,5.75677365064621
5,10,source_once,5.75677365064621
5,10,endpoint_once,5.75677365064621
5,15,route,5.75677365064621
5,15,source_once,5.75677365064621
5,15,endpoint_once,5.75677365064621
5,20,route,5.75677365064621
5,20,source_once,5.75677365064621
5,20,endpoint_once,5.75677365064621
5,30,route,5.75677365064621
5,30,source_once,5.737749055027962
5,30,endpoint_once,5.735452614724636
6,4,route,5.96340949088335
6,4,source_once,5.96340949088335
6,4,endpoint_once,5.96340949088335
6,6,route,5.96340949088335
6,6,source_once,5.96340949088335
6,6,endpoint_once,5.96340949088335
6,8,route,5.96340949088335
6,8,source_once,5.96340949088335
6,8,endpoint_once,5.96340949088335
6,10,route,5.96340949088335
6,10,source_once,5.96340949088335
6,10,endpoint_once,5.96340949088335
6,15,route,5.96340949088335
6,15,source_once,5.96340949088335
6,15,endpoint_once,5.96340949088335
6,20,route,5.96340949088335
6,20,source_once,5.96340949088335
6,20,endpoint_once,5.96340949088335
6,30,route,5.96340949088335
6,30,source_once,5.96340949088335
6,30,endpoint_once,5.96340949088335
7,4,route,6.0149647779762745
7,4,source_once,6.0149647779762745
7,4,endpoint_once,6.0149647779762745
7,6,route,6.0149647779762745
7,6,source_once,6.0149647779762745
7,6,endpoint_once,6.0149647779762745
