n,instance,method,cost,source_deviations,endpoint_deviations
20,29,route,4.701974429190159,9,0
20,29,source_once,4.701974429190159,9,0
20,29,source_repeated,4.701974429190159,9,0
20,29,endpoint_once,4.701974429190159,9,0
20,29,endpoint_repeated,4.701974429190159,9,0
20,30,route,4.073369035497308,8,2
20,30,source_once,3.813128361478448,8,2
20,30,source_repeated,3.813128361478448,8,2
20,30,endpoint_once,4.073369035497308,8,2
20,30,endpoint_repeated,3.813128361478448,8,2
20,31,route,4.562882836908102,5,0
20,31,source_once,4.562882836908102,5,0
20,31,source_repeated,4.562882836908102,5,0
20,31,endpoint_once,4.562882836908102,5,0
20,31,endpoint_repeated,4.562882836908102,5,0
20,32,route,3.864066379144788,3,1
20,32,source_once,3.791556702926755,3,1
20,32,source_repeated,3.791556702926755,3,1
20,32,endpoint_once,3.791556702926755,3,1
20,32,endpoint_repeated,3.791556702926755,3,1
20,33,route,4.7196154445409775,7,1
20,33,source_once,4.6313246339559555,7,1
20,33,source_repeated,4.533488944172859,7,1
20,33,endpoint_once,4.6313246339559555,7,1
20,33,endpoint_repeated,4.6313246339559555,7,1
20,34,route,3.8358762618154287,6,0
20,34,source_once,3.8358762618154287,6,0
20,34,source_repeated,3.8358762618154287,6,0
20,34,endpoint_once,3.8358762618154287,6,0
20,34,endpoint_repeated,3.8358762618154287,6,0
20,35,route,4.572093304246664,3,0
20,35,source_once,4.572093304246664,3,0
20,35,source_repeated,4.572093304246664,3,0
20,35,endpoint_once,4.572093304246664,3,0
20,35,endpoint_repeated,4.572093304246664,3,0
20,36,route,4.861497665755451,7,2
20,36,source_once,4.474063220433891,7,2
20,36,source_repeated,4.474063220433891,7,2
20,36,endpoint_once,4.861497665755451,7,2
20,36,endpoint_repeated,4.367809350602329,7,2
20,37,route,3.8984378278255463,6,0
20,37,source_once,3.8984378278255463,6,0
20,37,source_repeated,3.8984378278255463,6,0
20,37,endpoint_once,3.8984378278255463,6,0
20,37,endpoint_repeated,3.8984378278255463,6,0
20,38,route,3.4559044055640697,9,0
20,38,source_once,3.4559044055640697,9,0
20,38,source_repeated,3.4559044055640697,9,0
20,38,endpoint_once,3.4559044055640697,9,0
20,38,endpoint_repeated,3.4559044055640697,9,0
20,39,route,5.2877160385251045,8,2
20,39,source_once,4.443085171282291,8,2
20,39,source_repeated,4.443085171282291,8,2
20,39,endpoint_once,5.028574250638485,8,2
20,39,endpoint_repeated,4.671662323176861,8,2
20,40,route,5.601743388921022,3,2
20,40,source_once,4.916157070547342,3,2
20,40,source_repeated,4.916157070547342,3,2
20,40,endpoint_once,5.592206966131926,3,2
20,40,endpoint_repeated,4.945016887038946,3,2
20,41,route,4.715432852506638,6,1
20,41,source_once,4.508965440094471,6,1
20,41,source_repeated,4.4922056794166565,6,1
20,41,endpoint_once,4.477451793849468,6,1
20,41,endpoint_repeated,4.477451793849468,6,1
20,42,route,3.7772378008812666,5,1
20,42,source_once,3.5829941611737013,5,1
20,42,source_repeated,3.5829941611737013,5,1
20,42,endpoint_once,3.7772378008812666,5,1
20,42,endpoint_repeated,3.5829941611737013,5,1
20,43,route,4.041065752506256,2,0
20,43,source_once,4.041065752506256,2,0
20,43,source_repeated,4.041065752506256,2,0
20,43,endpoint_once,4.041065752506256,2,0
20,43,endpoint_repeated,4.041065752506256,2,0
20,44,route,4.203064038418233,6,1
20,44,source_once,4.203064038418233,6,1
20,44,source_repeated,4.203064038418233,6,1
20,44,endpoint_once,4.203064038418233,6,1
20,44,endpoint_repeated,4.122596367262304,6,1
20,45,route,5.713344145566225,4,2
20,45,source_once,5.065337713807821,4,2
20,45,source_repeated,5.065337713807821,4,2
20,45,endpoint_once,5.48378935828805,4,2
20,45,endpoint_repeated,5.065337713807821,4,2
20,46,route,3.8308819252997637,7,0
20,46,source_once,3.8308819252997637,7,0
20,46,source_repeated,3.8308819252997637,7,0
20,46,endpoint_once,3.8308819252997637,7,0
20,46,endpoint_repeated,3.8308819252997637,7,0
20,47,route,4.130797661840916,3,0
20,47,source_once,4.130797661840916,3,0
20,47,source_repeated,4.130797661840916,3,0
20,47,endpoint_once,4.130797661840916,3,0
20,47,endpoint_repeated,4.130797661840916,3,0
20,48,route,3.9217847548425198,7,1
20,48,source_once,3.917038422077894,7,1
