host,dataset,arm,seed,selected_step,mean,nll,accuracy,decoder_seconds,training_seconds,parameters
results_am,uniform200,route-blind,12031,11000,11.61094106733799,0.39650891171952024,0.8984375,1.7207094701007009,85.93746254779398,58306
results_am,cluster200,route-blind,12031,11000,5.015802092850208,0.8192790849243939,0.7916666865348816,1.7930937302298844,85.93746254779398,58306
results_am,uniform100,route-blind,12037,10000,8.127719545736909,0.24262653124659753,0.9296875,1.8080467591062188,85.02093625767156,58306
results_am,cluster100,route-blind,12037,10000,3.7662570867687464,0.7885511470502401,0.7890625,0.8786220089532435,85.02093625767156,58306
results_am,uniform200,route-blind,12037,10000,11.576365754008293,0.35066856675525954,0.8776041865348816,1.7391970087774098,85.02093625767156,58306
results_am,cluster200,route-blind,12037,10000,5.017566116526723,0.8430041682325301,0.7890625,1.743009413126856,85.02093625767156,58306
results_am,uniform100,route-blind,12041,12000,8.176469676196575,0.22070003347143397,0.9322916865348816,1.7522290111519396,91.5604113866575,58306
results_am,cluster100,route-blind,12041,12000,3.788406265899539,0.7841342837154173,0.7838541865348816,2.1524680322036147,91.5604113866575,58306
results_am,uniform200,route-blind,12041,12000,11.61239504814148,0.3494843818621412,0.8958333134651184,1.7941674110479653,91.5604113866575,58306
results_am,cluster200,route-blind,12041,12000,4.999008517712355,0.855291588935675,0.7864583134651184,1.8578806542791426,91.5604113866575,58306
