n,instance,origin,fragments,method,baseline_cost,cost,improvement_pct
50,1,raw,12,greedy_pair,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,12,random_mean,5.46506929397583,9.882470394368283,-80.82973632670631
50,1,raw,12,random_best,5.46506929397583,9.031834450084716,-65.26477459381067
50,1,raw,12,model_route,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,12,model_learned,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,4,original_order,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,4,exact_fixed_orientation,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,4,exact_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,4,greedy_pair,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,4,random_mean,5.46506929397583,7.047471630270593,-28.954844873404475
50,1,two_opt,4,random_best,5.46506929397583,6.597680528182536,-20.72455394948402
50,1,two_opt,4,model_route,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,4,model_learned,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,8,original_order,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,8,exact_fixed_orientation,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,8,exact_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,8,greedy_pair,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,8,random_mean,5.46506929397583,8.535408639465459,-56.18116039030058
50,1,two_opt,8,random_best,5.46506929397583,7.486296198796481,-36.984469841007474
50,1,two_opt,8,model_route,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,8,model_learned,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,12,original_order,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,12,exact_fixed_orientation,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,12,exact_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,12,greedy_pair,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,12,random_mean,5.46506929397583,9.882470394368283,-80.82973632670631
50,1,two_opt,12,random_best,5.46506929397583,9.031834450084716,-65.26477459381067
50,1,two_opt,12,model_route,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,12,model_learned,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,2,raw,4,original_order,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,4,exact_fixed_orientation,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,4,exact_reversible,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,4,greedy_pair,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,4,random_mean,5.552214622497559,6.423345111776143,-15.689784140345843
50,2,raw,4,random_best,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,4,model_route,5.552214622497559,6.453851998783648,-16.239238530741538
50,2,raw,4,model_learned,5.552214622497559,7.02441141102463,-26.515487758015226
50,2,raw,8,original_order,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,8,exact_fixed_orientation,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,8,exact_reversible,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,8,greedy_pair,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,8,random_mean,5.552214622497559,8.415888804011047,-51.57715211349879
50,2,raw,8,random_best,5.552214622497559,7.440476597286761,-34.00916756960312
50,2,raw,8,model_route,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,8,model_learned,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,12,original_order,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,12,exact_fixed_orientation,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,12,exact_reversible,5.552214622497559,5.5368080558255315,0.27748507072474726
50,2,raw,12,greedy_pair,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,12,random_mean,5.552214622497559,9.859552324283868,-77.57873199521123
50,2,raw,12,random_best,5.552214622497559,9.157084804959595,-64.926708125711
50,2,raw,12,model_route,5.552214622497559,5.7911793710663915,-4.303953734074838
50,2,raw,12,model_learned,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,two_opt,4,original_order,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,4,exact_fixed_orientation,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,4,exact_reversible,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,4,greedy_pair,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,4,random_mean,5.536808013916016,6.407938175369054,-15.733436291516178
50,2,two_opt,4,random_best,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,4,model_route,5.536808013916016,6.438445062376559,-16.284419582445352
50,2,two_opt,4,model_learned,5.536808013916016,7.009004474617541,-26.58926329035356
50,2,two_opt,8,original_order,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,8,exact_fixed_orientation,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,8,exact_reversible,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,8,greedy_pair,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,8,random_mean,5.536808013916016,8.395412323065102,-51.629102940979216
50,2,two_opt,8,random_best,5.536808013916016,7.411942810751498,-33.866711508193625
50,2,two_opt,8,model_route,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,8,model_learned,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,12,original_order,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
