instance,stage,method,cost
32,20,source_once,5.810895658098161
32,20,endpoint_once,5.810895658098161
32,30,route,5.810895658098161
32,30,source_once,5.810895658098161
32,30,endpoint_once,5.810895658098161
33,20,route,5.37824347242713
33,20,source_once,5.353793449699879
33,20,endpoint_once,5.37824347242713
33,30,route,5.37824347242713
33,30,source_once,5.37824347242713
33,30,endpoint_once,5.37824347242713
34,20,route,5.457529344595969
34,20,source_once,5.457529344595969
34,20,endpoint_once,5.457529344595969
34,30,route,5.457529344595969
34,30,source_once,5.457529344595969
34,30,endpoint_once,5.457529344595969
35,20,route,5.387000642716885
35,20,source_once,5.387000642716885
35,20,endpoint_once,5.387000642716885
35,30,route,5.387000642716885
35,30,source_once,5.320619713515043
35,30,endpoint_once,5.387000642716885
36,20,route,5.748261762084439
36,20,source_once,5.7446819704491645
36,20,endpoint_once,5.748261762084439
36,30,route,5.748261762084439
36,30,source_once,5.732122068526223
36,30,endpoint_once,5.740562905790284
37,20,route,6.114642764441669
37,20,source_once,6.114642764441669
37,20,endpoint_once,6.114642764441669
37,30,route,6.114642764441669
37,30,source_once,6.114642764441669
37,30,endpoint_once,6.114642764441669
38,20,route,6.733539879322052
38,20,source_once,6.342694330960512
38,20,endpoint_once,6.342694330960512
38,30,route,6.733539879322052
38,30,source_once,6.393763765692711
38,30,endpoint_once,6.531827416270971
39,20,route,6.087646756321192
39,20,source_once,6.087646756321192
39,20,endpoint_once,6.087646756321192
39,30,route,6.087646756321192
39,30,source_once,6.087646756321192
39,30,endpoint_once,6.087646756321192
40,20,route,5.195702380500734
40,20,source_once,5.195702380500734
40,20,endpoint_once,5.195702380500734
40,30,route,5.195702380500734
40,30,source_once,5.195702380500734
40,30,endpoint_once,5.195702380500734
41,20,route,5.640559729188681
41,20,source_once,5.640559729188681
41,20,endpoint_once,5.640559729188681
41,30,route,5.640559729188681
41,30,source_once,5.640559729188681
41,30,endpoint_once,5.640559729188681
42,20,route,5.73052117601037
42,20,source_once,5.73052117601037
42,20,endpoint_once,5.73052117601037
42,30,route,5.73052117601037
42,30,source_once,5.73052117601037
42,30,endpoint_once,5.73052117601037
43,20,route,5.932339335791767
43,20,source_once,5.922574850730598
43,20,endpoint_once,5.932339335791767
43,30,route,5.932339335791767
43,30,source_once,5.86281672026962
43,30,endpoint_once,5.932339335791767
44,20,route,5.583729267120361
44,20,source_once,5.5732772052288055
44,20,endpoint_once,5.583729267120361
44,30,route,5.583729267120361
44,30,source_once,5.5732772052288055
44,30,endpoint_once,5.583729267120361
45,20,route,5.355063496157527
45,20,source_once,5.354331126436591
45,20,endpoint_once,5.355063496157527
45,30,route,5.355063496157527
45,30,source_once,5.354331126436591
45,30,endpoint_once,5.355063496157527
46,20,route,5.8917385675013065
46,20,source_once,5.886077705770731
46,20,endpoint_once,5.8917385675013065
46,30,route,5.8917385675013065
46,30,source_once,5.886077705770731
46,30,endpoint_once,5.8917385675013065
47,20,route,5.881703958380967
47,20,source_once,5.880447805393487
47,20,endpoint_once,5.881703958380967
47,30,route,5.881703958380967
47,30,source_once,5.880447805393487
47,30,endpoint_once,5.881703958380967
48,20,route,5.353073672391474
48,20,source_once,5.31253878865391
48,20,endpoint_once,5.343423441983759
48,30,route,5.353073672391474
48,30,source_once,5.31253878865391
48,30,endpoint_once,5.353073672391474
49,20,route,5.74036343768239
49,20,source_once,5.739795822650194
49,20,endpoint_once,5.74036343768239
49,30,route,5.74036343768239
49,30,source_once,5.739795822650194
49,30,endpoint_once,5.74036343768239
50,20,route,5.516734378412366
50,20,source_once,5.515938026830554
50,20,endpoint_once,5.516734378412366
50,30,route,5.516734378412366
50,30,source_once,5.493487613275647
50,30,endpoint_once,5.516734378412366
51,20,route,5.880047395825386
51,20,source_once,5.880047395825386
51,20,endpoint_once,5.880047395825386
51,30,route,5.880047395825386
51,30,source_once,5.687729824334383
